,answerEntityId,description
112,Q892,English writer and philologist (1892–1973)
113,Q4775528,Australian politician
114,Q318462,British statesman and author (1803–1873)
115,Q4037931,American company founded by author Edgar Rice Burroughs
116,Q148234,American writer (1875-1950)
117,Q983421,American novelist and playwright
118,Q16943988,American painter and art historian
119,Q148005,asteroid
120,Q30739117,fantasy media franchise centred on a series of films
121,Q362061,American screenwriter
122,Q17611564,Wikinews article
123,Q104659949,ND
124,Q112919103,anti-trans statements by British author JK Rowling
125,Q104659815,ND
126,Q34660,British author and philanthropist (born 1965)
127,Q5410773,fictional magical universe created by J. K. Rowling
128,Q489218,American film and television director
129,Q105834402,ND
130,Q28028,Mexican filmmaker
131,Q5086207,American actress
132,Q4946512,"English poet, hymn writer, editor (1789-1871)"
133,Q21487094,American plant physiologist
134,Q15921793,British poet (1839-1880)
135,Q51844351,Austrian psychologist
136,Q521589,British writer
137,Q75883504,(1803-1888)
138,Q56063720,episode of Mom (S5 E14)
139,Q127332,British novelist and poet (1816-1855)
140,Q106564868,photomechanical print by George Richmond
141,Q1273533,American author of children's books
142,Q43718,Russian writer of Ukrainian origin (1809–1852)
143,Q7243,Russian author (1828–1910)
144,Q4465790,"(1752—1807) — Russian writer, director of the Imperial Moscow University."
145,Q189665,Russian novelist and official (1812–1891)
146,Q3639516,ND
147,Q113714190,scientific article published in 1951
148,Q4165223,ND
149,Q4167255,2011 film directed by Vladimir Khotinenko
150,Q5685,Russian dramatist and author (1860–1904)
151,Q212632,"Russian poet, writer and critic (1880-1934)"
152,Q192279,Russian-Soviet writer (1882-1945)
153,Q188117,American novelist
154,Q558416,evangelical Christian minister and author from the United States
155,Q212727,American author (born 1964)
156,Q540024,American author
157,Q210669,British novelist
158,Q4567381,American Christian novelist
159,Q1682677,Canadian writer
160,Q311671,American author
161,Q892,English writer and philologist (1892–1973)
162,Q5396105,"an American dean, professor, lawyer, and author"
163,Q2491590,teacher and author from Canada
164,Q962283,Icelandic actor
165,Q212727,American author (born 1964)
166,Q241615,Canadian writer
167,Q19665989,American writer
168,Q61522,Australian author
169,Q470083,"American actress, philanthropist"
170,Q311671,American author
171,Q6115483,British screenwriter
172,Q268181,"American novelist, essayist"
173,Q5113035,American children's writer
174,Q93620,American writer
175,Q7562982,American-French comic artist
176,Q3814719,American writer
177,Q369206,house pseudonym used by the Stratemeyer Syndicate
178,Q276028,English-American playwright and author
179,Q24963436,ND
180,Q983421,American novelist and playwright
181,Q5246277,novel series by Dean Koontz
182,Q57690323,journal article; published in 1958
183,Q1044648,house pseudonym used by the Stratemeyer Syndicate
184,Q1316719,American writer of children's books
185,Q391042,Russian punk/synth rock band
186,Q768394,American author
187,Q108692463,painting by William Allen Wall
188,Q971493,"American magazine writer, editor, and publisher (1806-1867)"
189,Q69339,American author (1804–1864)
190,Q1092918,"series of five books by James Fenimore Cooper, originally published between 1823–1841"
191,Q237514,"American children's writer, diarist, and journalist (1867-1957)"
192,Q102502514,(1858-1938)
193,Q102502290,American poet (1892-1918)
194,Q167856,American writer (1789–1851)
195,Q5497046,"United States Unitarian minister, scholar and author"
196,Q354323,prize for writers or illustrators of children's books
197,Q7188620,American writer
198,Q183492,"Canadian poet, novelist, literary critic, essayist, teacher, environmental activist,pépiniériste and inventor"
199,Q504805,American science fiction author
200,Q234718,British and French author
201,Q1238811,American novelist (1903-1978)
202,Q979465,American fantasy author
203,Q361653,American author (1907-1997)
204,Q93620,American writer
205,Q234030,United States science fiction and fantasy author
206,Q440569,American science fiction writer
207,Q708934,"English essayist and poet, 1862–1925"
208,Q7816426,American baseball player and coach
209,Q106567,German music producer/songwriter
210,Q7755721,American record production team
211,Q866207,American record production duo formed by Teddy Riley
212,Q7340859,Canadian musician (born 1957)
213,Q950350,"American record producer, audio engineer"
214,Q1934171,1995 studio album by R. Kelly
215,Q318223,Swedish record producer and songwriter
216,Q43432,American singer and actor (born 1981)
217,Q16732138,singer
218,Q16728588,"French-Algerian DJ, record producer, composer and artistic director"
219,Q105167,American author (1947–2013)
220,Q7347038,ND
221,Q224113,American novelist (1927–2001)
222,Q356275,English writer and film director
223,Q57491441,ND
224,Q28047924,Australian cricketer
225,Q18228540,Canadian ice hockey player
226,Q1649821,Irish footballer
227,Q26708738,2016 soundtrack album by John Powell & David Buckley
228,Q1059919,fictional novel and movie character created by Robert Ludlum
229,Q730116,American novelist
230,Q785351,1997 film by Francis Ford Coppola
231,Q186317,Swedish author
232,Q102410516,ND
233,Q106465,American writer (born 1955)
234,Q16386600,ND
235,Q665768,"American novelist, short story writer, martial arts instructor"
236,Q311671,American author
237,Q177194,Scottish landscape and portrait painter (1854-1932)
238,Q22980069,TED2007
239,Q188137,American filmmaker (1966-)
240,Q96322046,(1773-1805)
241,Q59664760,2014 scholarly article in Revue française d'études américaines
242,Q35298263,"airport in Monroe County, Missouri, United States of America"
243,Q47511874,painting by Frank Edwin Larson
244,Q47511065,painting by Eulabee Dix
245,Q6770075,crater on Mercury
246,Q7245,American author and humorist (1835–1910)
247,Q959983,asteroid
248,Q36460247,ND
249,Q210059,English writer (1960–)
250,Q313466,"American novelist, short story writer, essayist"
251,Q16386600,ND
252,Q892,English writer and philologist (1892–1973)
253,Q104830650,ND
254,Q188137,American filmmaker (1966-)
255,Q463038,"Canadian politician, former Premier of Ontario (1927-2000)"
256,Q5106166,ND
257,Q325945,American cartoonist and writer (born 1948)
258,Q1978398,1997 essay by Mary Schmich
259,Q134180,American author (1924-1984)
260,Q64144987,photograph in the National Gallery of Art (NGA 174435)
261,Q79904,American author (1919–2010)
262,Q47509501,painting by Robert Vickrey
263,Q88315759,researcher
264,Q182658,American author
265,Q276032,"American novelist, short story writer, designer (1862–1937)"
266,Q28801696,painting by Edward Harrison May
267,Q48562153,episode of Mom (S3 E22)
268,Q525777,fictional character from To Kill a Mockingbird
269,Q188117,American novelist
270,Q778711,"American artist, writer and producer"
271,Q46248,English fantasy author (1948–2015)
272,Q535856,American author
273,Q3441404,British screenwriter
274,Q244390,American novelist (1935-2001)
275,Q361653,American author (1907-1997)
276,Q6115483,British screenwriter
277,Q330047,all published works of the English writer and philologist J. R. R. Tolkien
278,Q1346976,"Novelist, playwright, essayist (1926-2017)"
279,Q3564828,American author
280,Q452404,American writer (born 1932)
281,Q2055564,American novelist and screenwriter (1961- )
282,Q35155,American novelist (born 1937)
283,Q237514,"American children's writer, diarist, and journalist (1867-1957)"
284,Q105756,"American novelist, poet (1932–2009)"
285,Q630446,American author and vlogger
286,Q111024669,ND
287,Q34660,British author and philanthropist (born 1965)
288,Q79904,American author (1919–2010)
289,Q47509501,painting by Robert Vickrey
290,Q99996144,ND
291,Q34743,English writer and poet (1865–1936)
292,Q83498819,painting by Philip Burne-Jones
293,Q467058,British children's author 1895-1986
294,Q28052494,painting by Lewis Baumer
295,Q7243,Russian author (1828–1910)
296,Q6447106,American architect
297,Q49074,American author (1922–2007)
298,Q5722081,American politician
299,Q42511,English writer (1866–1946)
300,Q96943139,book by Bernard Crick
301,Q3335,British writer and journalist
302,Q181659,American fantasy and science fiction author (1929–2018)
303,Q334252,Indian writer (1906-2001)
304,Q171091,American science fiction author (1928–1982)
305,Q284503,"city in Niigata Prefecture, Japan"
306,Q272855,British novelist (1954-)
307,Q104659815,ND
308,Q34660,British author and philanthropist (born 1965)
309,Q134798,Japanese writer (born 1949)
310,Q5066520,American actor (1976–2020)
311,Q5006293,American comic book writer
312,Q8006,Japanese filmmaker (1910–1998)
313,Q38392,American writer (1897–1962)
314,Q35155,American novelist (born 1937)
315,Q544611,"Novelist, short story writer (1926-1992)"
316,Q180962,American writer (1923–2007)
317,Q208101,American writer
318,Q105756,"American novelist, poet (1932–2009)"
319,Q892,English writer and philologist (1892–1973)
320,Q79904,American author (1919–2010)
321,Q47509501,painting by Robert Vickrey
322,Q182658,American author
323,Q235615,American novelist
324,Q130693,ceramic material
325,Q9185969,Chinese businessman
326,Q4917,official currency of the United States
327,Q30,country primarily located in North America
328,Q865,country in East Asia
329,Q459119,men's national association football team representing Taiwan
330,Q216923,name used by Taiwan in international organizations and events
331,Q29520,"cultural region, ancient civilization, and nation in East Asia, mostly refer to the People's Republic of China in political situation and rarely refer to the Republic of China"
332,Q21005673,American swimmer
333,Q227,country in the Caucasus in Eastern Europe and Western Asia
334,Q620059,Prefecture Apostolic
335,Q4235,"American singer, actress, and television personality (born 1992)"
336,Q17088795,1999 studio album by LeAnn Rimes
337,Q43432,American singer and actor (born 1981)
338,Q34086,Canadian singer (born 1994)
339,Q215300,American singer
340,Q1057457,2007 studio album by Jonas Brothers
341,Q191842,American singer and actor (born 1987)
342,Q202041,British acid jazz band
343,Q130799,English singer-songwriter
344,Q36153,American singer
345,Q121507,American singer
346,Q6096,"American rapper, record producer and actor (born 1971)"
347,Q180224,"American singer, songwriter, multi-instrumentalist, producer and actor (born 1964)"
348,Q120533,American singer and actress (born 1982)
349,Q713183,"American blues, folk, and rock guitarist, songwriter"
350,Q215300,American singer
351,Q15744507,British singer
352,Q484523,American actor and singer
353,Q20029978,American musician and actor
354,Q336640,Scottish-American musician
355,Q11975,American pop singer
356,Q42455,Icelandic singer (born 1965)
357,Q2599,English musician and member of the Beatles (born 1942)
358,Q120533,American singer and actress (born 1982)
359,Q19848,"American singer, songwriter, and actress (born 1986)"
360,Q34086,Canadian singer (born 1994)
361,Q215300,American singer
362,Q150916,American musician (born 1962)
363,Q217360,British indie rock band
364,Q20029978,American musician and actor
365,Q11975,American pop singer
366,Q42455,Icelandic singer (born 1965)
367,Q121507,American singer
368,Q201656,"American singer, actor and musician"
369,Q4235,"American singer, actress, and television personality (born 1992)"
370,Q15935,"American rapper, singer, songwriter and record producer (born 1977)"
371,Q43432,American singer and actor (born 1981)
372,Q34086,Canadian singer (born 1994)
373,Q217360,British indie rock band
374,Q1450,"American singer, songwriter, and record producer"
375,Q36153,American singer
376,Q505476,Swedish DJ and music producer
377,Q121507,American singer
378,Q23215,British singer
379,Q138745,Finnish Formula 1 racing driver
380,Q17657110,Wikinews article
381,Q42311,German racing driver
382,Q24088267,Wikinews article
383,Q2239218,Belgian-Dutch racing driver (born 1997)
384,Q2744186,Dutch puppet creator and puppeteer
385,Q9673,British racing driver
386,Q5859158,Cuban ballet dancer
387,Q10514,Spanish racing driver
388,Q82816,Australian racing driver
389,Q82864,Brazilian racing driver
390,Q221878,American football team
391,Q337758,"National Football League franchise in Santa Clara, California"
392,Q191477,"professional American football team based in Pittsburgh, Pennsylvania"
393,Q219714,"National Football League franchise in Philadelphia, Pennsylvania"
394,Q190618,professional American football team
395,Q193390,"National Football League franchise in Foxborough, Massachusetts"
396,Q223243,"National Football League franchise in Miami, Florida"
397,Q337377,"NFL franchise in Inglewood, California, United States"
398,Q223522,"National Football League franchise in Kansas City, Missouri"
399,Q223507,"National Football League franchise in Denver, Colorado"
400,Q272059,American football team
401,Q5869217,aspect of baseball
402,Q212654,American football team in the National Football League
403,Q1252814,professional baseball club
404,Q308966,"baseball team and Major League Baseball franchise in San Francisco, California, United States"
405,Q2869071,professional baseball team active 1890–1891
406,Q1251984,former Major League Baseball franchise; charter member of National League
407,Q335169,"baseball team and Major League Baseball franchise in Chicago, Illinois, United States"
408,Q246782,"baseball team and Major League Baseball franchise in Chicago, Illinois, United States"
409,Q213959,"baseball team and Major League Baseball franchise in Boston, Massachusetts, United States"
410,Q3642954,ND
411,Q224164,"National Football League franchise in Glendale, Arizona"
412,Q11144150,history of one of the original franchises of the American League
413,Q504309,"Major League Baseball franchise in St. Louis, Missouri"
414,Q308966,"baseball team and Major League Baseball franchise in San Francisco, California, United States"
415,Q1276616,former Major League Baseball team
416,Q2869071,professional baseball team active 1890–1891
417,Q1251984,former Major League Baseball franchise; charter member of National League
418,Q335169,"baseball team and Major League Baseball franchise in Chicago, Illinois, United States"
419,Q246782,"baseball team and Major League Baseball franchise in Chicago, Illinois, United States"
420,Q213959,"baseball team and Major League Baseball franchise in Boston, Massachusetts, United States"
421,Q3642954,ND
422,Q461595,"Major League Baseball team in Cumberland, Georgia"
423,Q203384,"National Hockey League franchise in Toronto, Ontario, Canada"
424,Q203013,"National Hockey League team in Ottawa, Ontario, Canada"
425,Q188984,hockey team of the National Hockey League
426,Q1543977,ice hockey team
427,Q459647,ice hockey team
428,Q340001,"former amateur ice hockey club in Montréal, Québec, Canada"
429,Q1946460,Canadian ice hockey club
430,Q188143,"National Hockey League team in Montreal, Quebec"
431,Q205973,National Hockey League team in Alberta
432,Q194116,hockey team of the National Hockey League
433,Q194121,"National Hockey League team in Boston, Massachusetts"
434,Q163415,American physicist and inventor
435,Q111227532,"American politician – Minnesota -- ""W.S."" House 1875 (District 15)"
436,Q369668,"Canadian pathologist, physician, educator, bibliophile, historian, author, cofounder of Johns Hopkins Hospital"
437,Q58256223,ND
438,Q705852,African-American chemist (1899-1975)
439,Q159726,American Methodist and founder of the YMCA
440,Q380036,American physician (1852–1943)
441,Q76425,German physiologist who received the first Nobel Prize in Physiology or Medicine 1901 for his discovery of a diphtheria antitoxin
442,Q3014147,"African American cardiologist who performed the first documented, successful pericardium surgery in the world"
443,Q429985,American microbiologist (1920-2005)
444,Q999734,American award for a fundamental discovery that opens up a new area of biomedical science
445,Q221878,American football team
446,Q337758,"National Football League franchise in Santa Clara, California"
447,Q7413605,ND
448,Q190618,professional American football team
449,Q193390,"National Football League franchise in Foxborough, Massachusetts"
450,Q223243,"National Football League franchise in Miami, Florida"
451,Q337377,"NFL franchise in Inglewood, California, United States"
452,Q223522,"National Football League franchise in Kansas City, Missouri"
453,Q213837,American football team
454,Q223507,"National Football League franchise in Denver, Colorado"
455,Q272059,American football team
456,Q212654,American football team in the National Football League
457,Q7681672,ND
458,Q337758,"National Football League franchise in Santa Clara, California"
459,Q191477,"professional American football team based in Pittsburgh, Pennsylvania"
460,Q219714,"National Football League franchise in Philadelphia, Pennsylvania"
461,Q193390,"National Football League franchise in Foxborough, Massachusetts"
462,Q221150,National Football League team
463,Q223243,"National Football League franchise in Miami, Florida"
464,Q213837,American football team
465,Q223507,"National Football League franchise in Denver, Colorado"
466,Q276539,"National Football League franchise in Baltimore, Maryland"
467,Q77668020,scientific article published on 01 August 1988
468,Q42916521,1988 presidential campaign of Massachusetts governor Michael Dukakis
469,Q319099,American politician (born 1933)
470,Q104852777,2020 television documentary film
471,Q59492817,collection in the National Archives and Records Administration's holdings
472,Q23505,President of the United States from 1989 to 1993
473,Q5425102,"headquarters for the Central Intelligence Agency, located in Langley, in Fairfax County, Virginia, United States"
474,Q47513347,painting by Nancy Fleming Harris
475,Q47508810,painting by Christopher Fox Payne
476,Q1124,President of the United States from 1993 to 2001
477,Q2263,American actor and film producer (born 1956)
478,Q44221,American actor and filmmaker (born 1960)
479,Q193815,"Canadian actor, singer and musician"
480,Q165219,American actor (born 1965)
481,Q873,American actress (born 1949)
482,Q219512,American actor
483,Q189422,French actor
484,Q129591,Australian actor (born 1968)
485,Q83492,British actor and filmmaker (born 1958)
486,Q270730,American actor
487,Q35332,American actor and filmmaker
488,Q7595813,"American politician, lawyer, voting rights activist, and author (born 1973)"
489,Q1729888,"American politician, former sports commentator and reality television personality"
490,Q75838686,British political candidate
491,Q1714165,former U.S. Representative from Michigan
492,Q1691395,American politician
493,Q5607720,Governor of Michigan since 2019
494,Q1494930,American politician and naval officer (born 1958)
495,Q241092,American politician (born 1950)
496,Q93238466,ND
497,Q4963043,American baseball player
498,Q862438,American politician
499,Q19667998,American football player (born 1995)
500,Q287048,Venezuelan baseball player
501,Q739917,American baseball player
502,Q75513087,(born 1805)
503,Q2761454,American football player (born 1982)
504,Q464312,American basketball player
505,Q17403431,American baseball player (born 1994)
506,Q29514757,American baseball player (born 1995)
507,Q520665,American baseball player
508,Q16206952,American professional baseball infielder
509,Q148726,Dominican-American baseball player
510,Q506127,American singer-songwriter
511,Q193459,British singer and guitarist
512,Q23771950,American rapper from Pennsylvania
513,Q60194277,artist discography
514,Q180224,"American singer, songwriter, multi-instrumentalist, producer and actor (born 1964)"
515,Q6509213,American singer (1986–2018)
516,Q15935,"American rapper, singer, songwriter and record producer (born 1977)"
517,Q43432,American singer and actor (born 1981)
518,Q34086,Canadian singer (born 1994)
519,Q62618893,2019 single by Billie Eilish
520,Q121507,American singer
521,Q18559542,2014 song by Mark Ronson
522,Q2117272,American rock band
523,Q45138,Eponymous debut album (1976)
524,Q751012,2010 photo-book
525,Q130798,American rapper and songwriter (born 1987)
526,Q5642553,Wikimedia band discography
527,Q733182,American musical duo composed of Daryl Hall and John Oates (1970–2024)
528,Q2307832,"song written and composed by Steve Perry, Jonathan Cain and Neal Schon, originally recorded by Journey and released in 1981"
529,Q5291922,single by Olivia Newton-John
530,Q29564107,American singer-songwriter (born 2001)
531,Q113954646,2022 single by Armani White
532,Q110732031,Wikimedia albums discography
533,Q7721993,American music production duo
534,Q17403494,American singer-songwriter (born 1993)
535,Q130798,American rapper and songwriter (born 1987)
536,Q48838300,2006 studio album by Ed Sheeran
537,Q47447,English singer-songwriter
538,Q112701903,2022 song by Jack Harlow
539,Q1157346,female given name
540,Q12470060,American rapper (born 1993)
541,Q633524,Wikimedia artist discography
542,Q121507,American singer
543,Q37079,American actor and producer (born 1962)
544,Q36949,American actor (born 1943)
545,Q48337,American actor and producer (born 1937)
546,Q5489701,Spanish writer and singer
547,Q483148,American actor (1957–2012)
548,Q311271,American actor
549,Q39792,American actor and filmmaker (born 1937)
550,Q191132,American actor
551,Q185051,American actor
552,Q35332,American actor and filmmaker
553,Q202735,"American actor, filmmaker, and musician"
554,Q132880,"National Basketball Association team in Toronto, Ontario"
555,Q45369584,Game 5 of the 1984 NBA World Championship Series
556,Q159729,American professional basketball team
557,Q30592246,ND
558,Q11324658,ND
559,Q172339,American professional basketball team
560,Q11350249,ND
561,Q17182778,ND
562,Q157376,"National Basketball Association team in San Francisco, California"
563,Q5132083,Wikimedia list article
564,Q162990,"National Basketball Association team in Cleveland, Ohio"
565,Q17599279,Wikinews article
566,Q17667492,Wikinews article
567,Q17672780,Wikinews article
568,Q17613883,Wikinews article
569,Q6883424,presidential campaign
570,Q4496,United States Senator from Utah since 2019
571,Q59661289,reference unit of the National Archives and Records Administration
572,Q47513588,painting by Michael A. Glier
573,Q76,President of the United States from 2009 to 2017
574,Q17183728,Wikimedia list article
575,Q159729,American professional basketball team
576,Q21830459,Sub-project of WikiProject National Basketball Association
577,Q131364,National Basketball Association team in New York City
578,Q172339,American professional basketball team
579,Q6827320,ND
580,Q169138,American professional basketball team based in Miami
581,Q11350249,ND
582,Q121783,American professional basketball team
583,Q16192118,ND
584,Q132893,American professional basketball team
585,Q16995573,aspect of history
586,Q159729,American professional basketball team
587,Q169138,American professional basketball team based in Miami
588,Q11350249,ND
589,Q121783,American professional basketball team
590,Q16995995,Wikimedia list article
591,Q161345,"National Basketball Association team in Houston, Texas"
592,Q85853430,ND
593,Q16192118,ND
594,Q132893,American professional basketball team
595,Q5095520,sports team in the American Football League
596,Q16995573,aspect of history
597,Q650865,"baseball team and Major League Baseball franchise in St. Petersburg, Florida, United States"
598,Q201864,ice hockey team of the National Hockey League
599,Q169138,American professional basketball team based in Miami
600,Q121783,American professional basketball team
601,Q170329,"professional basketball team from Indianapolis, Indiana"
602,Q161345,"National Basketball Association team in Houston, Texas"
603,Q169661,American professional basketball team
604,Q128109,American professional basketball team
605,Q572134,American professional basketball team
606,Q131371,NBA team based in Boston; tied with most NBA Championships
607,Q2495108,domain registrar
608,Q34800,autonomous region in China
609,Q30,country primarily located in North America
610,Q913651,men's national ice hockey team representing the United States
611,Q4917,official currency of the United States
612,Q11703,territory of the United States of America
613,Q145,country in north-west Europe
614,Q166433,American experimental rock and psychedelic band
615,Q15180,former country in Eurasia (1922–1991)
616,Q3233780,scientific national academy for the United States
617,Q188158,"recurring international multi-sport event, organized for university athletes by the International University Sports Federation (FISU)"
618,Q344098,Font style characterised by cursive typeface and slanted design
619,Q56710515,Italian diplomat
620,Q2670930,Italian entrepreneur and football chairman
621,Q172579,kingdom in Southern Europe from 1861 to 1946
622,Q38,country in Southern Europe
623,Q3804344,belgians citizens of Italian descent
624,Q1065371,Brazilian citizens of Italian descent
625,Q50316304,scientific article published in June 1905
626,Q184,country in Eastern Europe
627,Q17270007,private educational establishment in Belarus
628,Q2520425,golf videogame series
629,Q10993,American golfer
630,Q318464,American poker player
631,Q86008984,name: given and family name
632,Q37563557,family name
633,Q3157281,video game series
634,Q47512205,painting by Russell Hoban
635,Q9424,American golfer
636,Q4421,dense collection of trees covering a relatively large area
637,Q949410,American golfer (1892-1969)
638,Q7964093,American baseball player (1875-1951)
639,Q10993,American golfer
640,Q7769261,1998 television film directed by LeVar Burton
641,Q1246925,American professional golfer
642,Q24040851,(1757-1835) Roman Catholic priest
643,Q6028374,Irish actor
644,Q18387921,Australian rules footballer
645,Q7172183,American activist
646,Q17655149,Wikinews article
647,Q17613883,Wikinews article
648,Q6883424,presidential campaign
649,Q4496,United States Senator from Utah since 2019
650,Q19881103,ND
651,Q6847333,ND
652,Q158813,Governor of Arkansas from 1996 to 2007
653,Q17611199,Wikinews article
654,Q10390,"American politician, military officer, and presidential candidate (1936–2018)"
655,Q2306995,2005 film by Jay Chandrasekhar
656,Q6847436,British racing driver
657,Q41421,American basketball player and businessman (born 1963)
658,Q3308285,"American computer scientist, University of California, Berkeley"
659,Q121783,American professional basketball team
660,Q36159,American basketball player (born 1984)
661,Q108870659,main protagonist in the 2021 film Space Jam: A New Legacy
662,Q98400125,given name
663,Q29545,American basketball player
664,Q102806986,Ph.D. Universiteit Stellenbosch 2017
665,Q59209884,African-American model and entrepreneur
666,Q17669210,Wikinews article
667,Q308966,"baseball team and Major League Baseball franchise in San Francisco, California, United States"
668,Q603099,"Minor League Baseball Class AAA franchise in Pawtucket, Rhode Island, USA"
669,Q213417,"baseball team and Major League Baseball franchise in the Bronx, New York, United States"
670,Q16845944,association football (soccer) team
671,Q30587819,Wikimedia list article
672,Q334634,"Major League Baseball franchise in Los Angeles, California"
673,Q335169,"baseball team and Major League Baseball franchise in Chicago, Illinois, United States"
674,Q213959,"baseball team and Major League Baseball franchise in Boston, Massachusetts, United States"
675,Q16825412,minor league baseball team
676,Q83529,career statistics
677,Q1426,Swiss tennis player
678,Q10132,Spanish tennis player (born 1986)
679,Q6470562,Serbian tennis player (born 1987)
680,Q5812,Serbian tennis player
681,Q6849755,Russian retired professional tennis player
682,Q108879001,ND
683,Q16474,American tennis player
684,Q16869916,family name
685,Q21146583,family name
686,Q1045194,main belt asteroid
687,Q3992927,American professional basketball player
688,Q553480,"American professional golfer, golf course architect"
689,Q10993,American golfer
690,Q1246925,American professional golfer
691,Q1364348,professional golfer
692,Q86008984,name: given and family name
693,Q3182049,American professional golfer
694,Q9424,American golfer
695,Q6114325,Welsh footballer (1898-1970)
696,Q76273335,(born 1925)
697,Q54527,American tennis player (born 1943)
698,Q2376327,"American writer, film director, and producer"
699,Q313381,American football player (born 1977)
700,Q30526462,family name
701,Q63529370,"parish of Drake County, New South Wales, Australia"
702,Q110137571,episode of Danica Patrick Pretty Intense Podcast
703,Q720027,American football coach (born 1952)
704,Q537679,American football player (born 1982)
705,Q302581,American football player (born 1983)
706,Q313381,American football player (born 1977)
707,Q316183,American basketball player
708,Q79031,American boxer and media personality (born 1966)
709,Q6849116,American baseball player
710,Q716029,American football player (1933–2002)
711,Q3176269,Major League Baseball second baseman
712,Q348011,American football player (born 1956)
713,Q6211408,American actor
